Product name,SKU,Slug,Category,Brand,Quantity,Minimum stock,First price,Second price,Third price,Purchase price (cost),Weight (kg),Barcode,Description,Status,Images
khamira ma3jouna,khamira,khamira,pizza,,2,0,8,0,0,8,0,,,Active,https://res.cloudinary.com/fkyp6bjc/image/upload/v1789043970/inventory-system/products/w9jj3ha64vn7dzlthchy.jpg
khas 7mar,khas 7mar,khas-7mar,product,,5,0,4,0,0,4,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788684995/inventory-system/products/n7zilpt6moey4ypgdvtf.jpg
khas twil,khas,khas,product,,21,0,0,0,0,200,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788342776/inventory-system/products/rxmjisil4jicc1afvq0i.jpg
khokh,khokh,khokh,Fruit,,7.8,0,0,0,0,13,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788339412/inventory-system/products/jd4g16icmxwtpbntzjfk.webp
kiwi,kiwi,kiwi,Fruit,,15.5,0,46,0,0,46,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788339923/inventory-system/products/kqicqgroivlldqbexez7.webp
kromb,choux-blanc,choux-blanc,product,,15.75,0,0,0,0,5.24,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788686282/inventory-system/products/nrlqahpiee7sagwkxvao.webp
kron,bola,bola,product,,24,0,0,0,0,155,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788347729/inventory-system/products/vqbnlmkbuhd9qfkjmrnp.webp
lait jaouda 1 l uht,93,lait-jaouda-1-l-uht,bar,ABM,297,0,10.84,0,0,10.84,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788856541/inventory-system/products/ktspo1mckiroue1xp38o.webp
langestin,langestin,langestin,product,,19,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788362891/inventory-system/products/sxgslxfsverjycyd9h0n.jpg
lantapink,lantapink,lantapink,nettoyage,,3,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788861229/inventory-system/products/o0jlfzxrhcq9od5edj3t.jpg
lingas,lingas,lingas,Fruit,,14,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788341832/inventory-system/products/zgrnl3bbubvwim6dywvx.jpg
lobia khagra,lobia,lobia,Gumes,,3,0,0,0,0,15,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788345430/inventory-system/products/oikxl1cfxrg3xzi9xwl5.jpg
lomo,lomo,lomo,product,,9.7,0,150,0,0,150,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788954607/inventory-system/products/jzexi9w4zll0l1lepaky.jpg
m3adnos,m3adnos,m3adnos,pattes,,11,0,0,0,0,1,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788778719/inventory-system/products/myqoixdezothqica6dth.webp
mais doux 400g,mais,mais,bar,,10,0,10,0,0,20,0,6933300029492,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788278606/inventory-system/products/p4p9naanrgwoiznsfovu.jpg
manchego,40,manchego,formage,ABM,18.3,0,160,0,0,160,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788348518/inventory-system/products/pd0kqvari2o9pse9digl.jpg
mange,mange,mange,Fruit,,91.5,0,27,0,0,27,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788337569/inventory-system/products/pumk821vbyf1vj43n544.jpg
mansania,94,mansania,bar,ABM,15,0,32,0,0,0,0,,,Active,
mare,mare,mare,product,,1,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788603845/inventory-system/products/znv7dfcupzrpwgi1rnjn.webp
matcha,45646,3454,bar,marone,2,0,480,0,0,480,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788856723/inventory-system/products/ju0syuwimfanoxeiac4k.jpg
mayfine 450g,mayfine,mayfine,patisssserie,,1,0,0,0,0,0,0,6111180001887,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788269959/inventory-system/products/rnpwwwbp89wy9g2xw28o.jpg
mika nadafa,mika-nadafa,mika-nadafa,nettoyage,,2,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788772618/inventory-system/products/cxrlnqgvswouis3oxet2.jpg
mini pains complets,mini-pains-complets,mini-pains-complets,P dej,,551,0,2,0,0,2,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788964418/inventory-system/products/gekuebgnpthxnbw8tnxa.avif
moutarde ancienne,ancienne,ancienne,product,,13,0,12,0,0,12,0,6111184007823,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788278204/inventory-system/products/jxmorg4yj2jiaje9nmrg.jpg
mure,mure,mure,Fruit,,5,0,13.5,0,0,15,0,,,Active,https://res.cloudinary.com/fkyp6bjc/image/upload/v1789305664/inventory-system/products/jjr0vnqq2feulzbmyeyl.jpg
na3na3,na3na3,na3na3,product,,83,0,0,0,0,2,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788342496/inventory-system/products/ppupb48ocx7zftqe63al.jpg
nouilles harmony,47,nouille,pattes,ABM,133,0,17.5,0,0,16.5,0,6111242801479,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788791349/inventory-system/products/pzprt2myrvu75m229oom.jpg
oeuf liquide pasteurisé banch 2kg,Liquid Eggs banch,liquid-lggs-banch,patisssserie,,1,0,61.46,0,0,61.46,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788696251/inventory-system/products/yvw36xljp9mdsz2lzcor.webp
oeuf liquide pasteurisé jaune 2kg,oeuf liquide pasteurisé jaune 2kg,oeuf-liquide,patisssserie,,4,0,0,0,0,145.13,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788696114/inventory-system/products/tm6w0eqv3lddphev0uqo.webp
orange,orange,orange,product,,166.133,0,0,0,0,6,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788687294/inventory-system/products/dowkw4d8evvmqion9e3s.png
pagrir g,pagrir-g,pagrir-g,P dej,,79,0,4,0,0,4,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788437360/inventory-system/products/i3grjvyeuaqqdl5imxao.jpg
pagrir p,pagrir-p,pagrir-p,P dej,,270,0,2,0,0,2,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788437188/inventory-system/products/vjzvplrmlcqlo7f9w1nj.jpg
pailles envelopppe 500 psc,PAILLES ENVELOPPE 500 PSC,pailles-x-500,product,,4,0,40,0,0,36,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788512789/inventory-system/products/fael6vak3trdmm4n9v6n.jpg
pailles noir/colore x100,333,pailles-noir-colore-x100,product,,12,0,19,0,0,20,0,,,Active,
pailles x 100,335,pailles-x-100,product,,12,0,9.5,0,0,15,0,,,Active,
pain burger,pain-burger,pain-burger,product,,1,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788346976/inventory-system/products/afum93lycwb3njegvxmf.webp
panin,panin,panin,product,,17,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788346677/inventory-system/products/ub0bmifzfsodrhutdhl7.jpg
papier essuie main,188,papier-essuie-main,product,,20,0,260,0,0,260,0,,,Active,https://res.cloudinary.com/fkyp6bjc/image/upload/v1789029483/inventory-system/products/m5trpu5lntyegl7ubdh1.webp
paprika fumer,56,paprika-fumer,TAWABIL,ABM,11,0,65,0,0,65,0,,,Active,https://res.cloudinary.com/fkyp6bjc/image/upload/v1789055603/inventory-system/products/u3cdowlut3dixkcockro.jpg
peanut butter crunchy 350g,peanut,peanut,P dej,,3,0,0,0,0,36.95,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788879234/inventory-system/products/lyawoe8ghvqirysf6lzg.avif
pestol capoccino,pestol-capoccino,pestol-capoccino,P dej,,450,0,2.5,0,0,2.5,0,,,Active,
petit pain m,petit-pain-m,petit-pain-m,P dej,,55,0,0,0,0,3.5,0,,,Active,
petites cuilleres a melanger,melanger,melanger,embalo,,1,0,0,0,0,12,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788356331/inventory-system/products/aqp8xsi5nxajv23t6rza.webp
pistol varie carre patisre,pistol,pistol,P dej,,215,0,100,0,0,2.5,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788964539/inventory-system/products/unijc1sgtkxc3kcq564v.jpg
planche triangulaire,planche-triangulaire,planche-triangulaire,patisssserie,,1000,0,0.4,0,0,0.48,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788874825/inventory-system/products/v4bjp02xrpy5pqlmwxq2.webp
plastique poubelle 30 L,59,plastique-poubelle-30-l,nettoyage,ABM,6,0,14,0,0,14,0,,,Active,
poivre noire moulu 100g,poivre-noire-moulu,poivre-noire-moulu,TAWABIL,ABM,1,0,100,0,0,100,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788708644/inventory-system/products/hcmdwgbqxxpvgej06nov.png
poivre vert 500g,60,poivre-vert,TAWABIL,ABM,4,0,78,0,0,78,0,6111248480555,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788283810/inventory-system/products/su8s61hjzq2fznrtxiqm.jpg
pouche,61,pouche,product,,0,0,0,0,0,0,0,,,Active,
pt crois creame aman,pt-crois-creame-aman,pt-crois-creame-aman,P dej,,56,0,9.5,0,0,9.5,0,,,Active,
